Name	Difficulty
Kono Oozora ni, Tsubasa o Hirogete	4
Tokeijikake no Ley Line -Zan'ei no Yoru ga Akeru Toki-	4
Rance 4 -Kyoudan no Isan-	4
Primary ~Magical★Trouble★Scramble~	4
Josou Souseiki	4
narcissu -SIDE 2nd-	4
Yuujaku Bourou	4
Dekinai Watashi ga, Kurikaesu	4
Rance 02 Kai: Hangyaku no Shoujo-tachi	4
Magical Charming!	4
Katahane	4
Hisaki Ojou-sama to Shitsuji na Boku	4
Yoake Mae yori Ruri Iro na	4
Mahou Shoujo Shoumou Sensen DeadΩAegis: Gaiden	4
Hatsukoi Yohou.	4
Gin'iro, Haruka	4
Imakoi ~Succubus to Soitogeru Ore!?~	4
Amairo * Islenauts	4
Amatsutsumi	4
Ren'ai 0 Kilometer	4
WORLD END ECONOMiCA episode.02	4
Josou Jinja	4
Ren'ai x Royale	4
Clover Day's	4
9-nine- Haruiro Harukoi Harunokaze	4
CharaBration! ~Otome wa Koi shite Charabureru~	4
Ai Kiss 2	4
Jouwan Nitoukin no Uta wo Utae	4
Karigurashi Ren'ai	4
Your Diary	4
Watashi ga Suki nara Suki tte Itte!	4
Furifure 2	4
Ai Kiss	4
Bra-Ban!	4
Dreamin' Her -Boku wa, Kanojo no Yume o Miru.-	4
Ama Koi Syrups ~Hajirau Koigokoro de Shitaku Naru Amagami-sama no Koi Matsuri~	4
9-nine- Sorairo Sorauta Soranooto	4
Summer Pockets	4
Josou Shinwa	4
Hen Koi ≒ Kuro Rekishi	4
Koi x Shin Ai Kanojo	4
Deep Love Diary -Koibito Nikki- All Ages Free Edition	4
Cafe Stella to Shinigami no Chou	4
Aete Mushi Suru Kimi to no Mirai ~Relay Broadcast~	4
Fault Milestone Two (Side: Above)	4
9-nine- Yukiiro Yukihana Yukinoato	4
Ayakashi Gohan ~Okawari!~	4
Fault Milestone One	4
Nanairo Reincarnation	4
Mouzen Philia	4
Hoshizora no Memoria -Wish upon a Shooting Star-	4
Wagamama High Spec OC	4
Ayakashi Gohan	4
Trinoline	4
Loopers	4
Puramai Wars	4
Dasaku	4
Sorceress * Alive! ~the World's End Fallen Star~	4
Date A Live: Rio Reincarnation	4
Princess Frontier	4
Kimi to Yumemishi	4
Date A Live: Arusu Install	4
Umineko no Naku Koro ni Tsubasa	4
Ren'ai, Karichaimashita	4
ATRI -My Dear Moments-	4
Prawf Clwyd	4
Amairo Chocolata 2	4
Tarareba	4
Rance 6 -Zeth Houkai-	4
Marco to Ginga Ryuu	4
9-nine- Kokonotsu Kokonoka Kokonoiro	4
Koi to Senkyo to Chocolate	4
PARQUET	4
Uchi wa Mou, Enki Dekinai.	4
narcissu	4
Monkeys!¡	4
Harumade, Kururu.	4
Kimi to Kanojo to Kanojo no Koi	4
Kanon	4
Tenshin Ranman Lucky or Unlucky!?	4
Kimi no Koe ga Kikoeru	4
Suki to Suki to de Sankaku Ren'ai	4
Professor Layton vs Ace Attorney	4
Wagamama High Spec	4
Kurai Heya	4
Rance 9 -Helman Kakumei-	4
Furifure	4
Kami-sama no You na Kimi e	4
Hyper→Highspeed→Genius	4
Tenshi☆Souzou RE-BOOT!	4
Gakuen Heaven 2 ~Double Scramble!~	4
Fortune Arterial	4
Princess Lover!	4
Taishou x Alice Heads&Tails	4
Corona Blossom	4
WORLD END ECONOMiCA episode.03	4
Fuyukara, Kururu.	4
Sakaagari Hurricane	4
Watashi wa Kyou Koko de Shinimasu.	4
Extravaganza ~Mushi Mederu Shoujo~	4
Rance 01: Hikari o Motomete	4
Saikoro Psycho ~Seventh Heaven~	4
Raspberry Cube	4
Haruka ni Aogi, Uruwashi no	5
Fraternite	5
Haitoku Shirene	5
RIDDLE JOKER	5
Satsukoi ~Yuukyuu Naru Koi no Uta~	5
Tokeijikake no Ley Line -Asagiri ni Chiru Hana-	5
Bishoujo Mangekyou -Norowareshi Densetsu no Shoujo-	5
Fushigi Densha	5
Futsuu no Fantasy	5
Ao no Kanata no Four Rhythm	5
Kanojo-tachi no Ryuugi	5
Phoenix Wright: Ace Attorney 2	5
Lovely x Cation	5
Shirogane x Spirits!	5
Otome ga Tsumugu Koi no Canvas	5
Akatsuki no Goei ~Principal-tachi no Kyuujitsu~	5
Tekoire Princess! ~Boku ga Mienai Kimi no Tame~	5
Moon	5
White Album	5
Nora to Oujo to Noraneko Heart	5
Scarlett	5
Hana wa Mijikashi, Odoreyo Otome	5
Daitoshokan no Hitsujikai	5
Rance Quest	5
Hotel	5
Senren * Banka	5
Flyable Heart	5
LEAVEs	5
Shironagasu Tou e no Kikan	5
AstralAir no Shiroki Towa	5
Futagoza no Paradox	5
Sadistic Blood	5
Tsuyokiss Nigakki	5
Carnival	5
Planetarian	5
Sharin no Kuni, Himawari no Shoujo	5
Kamikaze ☆ Explorer!	5
Futamata Ren'ai	5
Classy ☆ Cranberry's	5
Sousaku Kanojo no Ren'ai Koushiki	5
Iinchou wa Shounin Sezu! ~It Is a Next CHOice~	5
Tsukikage no Simulacre	5
Tsuki no Kanata de Aimashou	5
Narisokonai Snow White	5
Vanitas no Hitsuji	5
Same to Ikiru Nanokakan	5
ChronoBox	5
2045, Tsuki Yori.	5
Aku no Onna Kanbu Full Moon Night	5
Phoenix Wright: Ace Attorney 6	5
Flowers -Le Volume sur Printemps-	5
Gore Screaming Show	5
Flowers -Le Volume sur Automne-	5
Apollo Justice: Ace Attorney 4	5
Natsukumo Yururu	5
Ewige Schlacht -Erste Geschichte-	5
Flowers -Le Volume sur Été-	5
Mushitsukai	5
Boku no Kanojo wa Gatenkei	5
Akatsuki no Goei	5
AMBITIOUS MISSION	5
Kimi ga Ita Kisetsu ~Primary~	5
Sora o Tobu, 3tsu no Houhou.	5
Kizuato	5
Ai ♂ Mai ♀ Misuto	5
Evenicle	5
Dracu-Riot!	5
Ochakai e no Shoutaijou	5
Phoenix Wright: Ace Attorney 3	5
Twinkle ☆ Crusaders	5
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO	5
Ewige Schlacht -Letzte Geschichte-	5
Rance 03 Leazas Kanraku	5
Kichikuou Rance	5
Tsuyokiss	5
Aiyoku no Eustia	5
Clover Point	5
Hatsuyuki Sakura	5
Phoenix Wright: Ace Attorney	5
Hamidashi Creative	5
Riddle Garden	5
DRAMAtical Murder	5
Ogeretsu Daihyakka	5
Clannad	5
Shirokuma Bell Stars♪	5
Girls Nite Out	5
Axanael	5
Taishou x Alice	5
Ayakashi	5
Shizuku	5
Hana no No ni Saku Utakata no	5
Ryuusei World Actor	5
Grisaia: Phantom Trigger	5
Fortissimo EXS//Akkord:Nachsten Phase	5
Dangan Ronpa Kibou no Gakuen to Zetsubou no Koukousei	5
Machina no Kiseki ~Ogeretsu Daihyakka Gaiden~	5
Hapymaher	5
Utawarerumono	5
Amaemi -longing for you-	5
Angel Beats! -1st Beat-	5
Owaru Sekai to Birthday	5
Akatsuki no Goei ~Tsumibukaki Shuumatsuron~	5
Phoenix Wright: Ace Attorney 5	5
Shinsou Noise ~Jushin Tantei no Jikenbo~	5
Tsui no Stella	5
Ace Attorney Investigations: Miles Edgeworth	5
Sengoku Rance	5
Katawa Shoujo	5
Rance 10	5
Schwarzesmarken	5
Sengoku † Koihime X ~Otome Kenran ☆ Sengoku Emaki~	5
Kimi ga Nozomu Eien	5
Love of Ren'ai Koutei of LOVE!	5
√ after and another	5
Muv-Luv	5
Ouka Sabaki	5
Kin'iro Loveriche	5
Waga Himegimi ni Eikan wo	5
Tsujidou-san no Virgin Road	5
Tsukumo no Kanade ~Kaketsuki no Yasoukyoku~	5
Kamaitachi no Yoru Rinne Saisei	5
Dasoku	5
Dorakuriusu	5
Sumaga	5
Ninja Girl and the Mysterious Army of Urban Legend Monsters! ~Hunt of the Headless Horseman~	5
Chuusotsu! 1st Graduation ~Chuusotsu no Time After Time~	5
Nukige Mitai na Shima ni Sunderu Watashi wa Dou Surya Ii Desu ka?	5
Grisaia no Kajitsu -Le Fruit de la Grisaia-	5
Dead Days	5
Kira☆Kira	6
Sekai de Ichiban Dame na Koi	6
Higanbana no Saku Yoru ni - Dai Ichi Ya	6
Steins;Gate 0	6
Gothderi -Gothic Delusion-	6
Little Busters! Ecstasy	6
Fatal Twelve	6
BALDR HEART	6
Kono Aozora ni Yakusoku wo	6
Ayakashibito	6
Choukou Shinki Ixseal	6
MinDeaD BlooD ~Shihaisha no Tame no Kyoushikyoku~	6
Reincarnation ☆ Shinsengumi!	6
Higanbana no Saku Yoru ni - Dai Ni Ya	6
Sakura no Uta -Sakura no Mori no Ue wo Mau-	6
Chooita ~Subarashiki Chounouryoku Jinsei~	6
Maji de Watashi ni Koishinasai	6
Parfait ~Chocolat Second Brew~	6
Hakuchuumu no Aojashin	6
Sen no Hatou, Tsukisome no Kouki	6
Aoi Sora no Camus	6
Flowers -Le Volume sur Hiver-	6
Cross†Channel -Final Complete-	6
Kara no Shoujo - The Last Episode	6
Kikaijikake no Eve -Dea Ex Machina-	6
Baldr Sky Dive1: Lost Memory	6
Monobeno -Happy End-	6
Phantom Integration	6
G-senjou no Maou	6
Sanzen Sekai Yuugi ~MultiUniverse Myself~	6
Tsujidou-san no Jun'ai Road	6
Swan Song	6
Nukige Mitai na Shima ni Sunderu Watashi wa Dou Surya Ii Desu ka? 2	6
Daiteikoku	6
Nora!	6
Noel	6
Tenshi no Hane wo Fumanaide	6
Shingakkou -Noli me tangere-	6
Hanafubuki ~Sennen no Koi wo Shimashita~	6
Island	6
Zoku Satsuriku no Django	6
Musicus!	6
Tsuki ni Yorisou Otome no Sahou	6
STEINS;GATE: Senkei Kousoku no Phenogram	6
Muv-Luv Alternative	6
Steins;Gate	6
Lunaria -Virtualized Moonchild-	6
Air	6
Ouka Sengoku! ~Nobunaga-chan no Koishite Yabou!?~	6
Ciconia no Naku Koro ni	6
Dear My Abyss	6
BALDR SKY Dive2 RECORDARE	6
Kichiku Megane R Kichiku Megane Fan Disc	6
Baldr Force	6
Meikei no Lupercalia	6
Mahou Shoujo Shoumou Sensen DeadΩAegis	6
Saya no Uta	6
Kara no Shoujo - The Second Episode	6
Omega Vampire	6
Ever Maiden ~Daraku no Sono no Otome-tachi~	6
Kusarihime ~Euthanasia~	6
Chaos;Child	6
Abyss -Satsujin Club-	6
Sakura, Moyu. -As the Night's, Reincarnation-	6
Soukou Akki Muramasa: Janen Hen	6
Tokyo 24-ku	6
Memory's Dogma Code:01	6
Lamento -Beyond the Void-	6
Kichiku Megane	6
Higurashi no Naku Koro ni	6
Sakura no Toki -Sakura no Mori no Shita o Ayumu-	6
Chaos;Head	6
Chaos;Head Noah	6
Remember11	6
Realize	6
Maitetsu	6
Higurashi no Naku Koro ni Kizuna	6
Kara no Shoujo	6
Higurashi no Naku Koro ni Matsuri	6
Hakuoki: Kyoto Winds	6
Yume Miru Kusuri	6
Hentai Prison	6
Sayonara wo Oshiete ~Comment te Dire Adieu~	6
Hakuoki: Edo Blossoms	6
Maitetsu Last Run!!	6
Sekai Seifuku Kanojo	6
Rewrite+	6
Gun-Katana - Non-Human-Killer	6
J.Q.V Jinrui Kyuusai-bu ~With Love from Isotope~	6
SeaBed	6
BLACK SHEEP TOWN	6
Kami no Ue no Mahoutsukai	6
Tsui no Sora Remake	6
Lamunation!	6
Hello Lady!	6
Persona Driver Ryuuki ~Onna Kaijin Gundan Daishingeki!~	6
Tsukihime	6
Shiei no Sona-Nyl -What a Beautiful Memories-	6
Sapphism no Gensou	7
Omega no Shikai -1. Shiki no Hajimari-	7
Rei-Jin-G-Lu-P	7
Fata Morgana no Yakata	7
Yami wo Hashiru Yaiba no Kirameki	7
Daibanchou -Big Bang Age-	7
Gensou no Idea ~Oratorio Phantasm Historia~	7
Atlach-Nacha	7
Kyuuketsu Senki Vjedogonia	7
Yukuhito no Pleroma	7
Kurai Nichiyoubi	7
Fate/Stay Night	7
Umi Kara Kuru Mono	7
Sora no Baroque	7
Nagareochiru Shirabe ni Nosete	7
Sekien no Inganock -What a Beautiful People-	7
White Album 2	7
Shikkoku no Sharnoth -What a Beautiful Tomorrow-	7
Sakura no Kumo * Scarlet no Koi	7
Fairytale Requiem	7
Umineko no Naku Koro ni	7
Dies irae ~Interview with Kaziklu Bey~	7
Tsukihime -A Piece of Blue Glass Moon-	7
Kitto, Sumiwataru Asairo Yori mo	7
Subarashiki Hibi ~Furenzoku Sonzai~	7
Tokyo Necro	7
Soushuu Senshinkan Gakuen Bansenjin	7
Ken ga Kimi	7
Jingai Makyou	7
Mahoutsukai no Yoru	7
Koshotengai no Hashihime	7
Amatsukaze ~Kugutsu Jinpuu-chou~	7
12Riven	7
Nemurenu Hitsuji to Kodoku na Ookami -A Tale of Love, and Cutthroat-	7
Saihate no Ima	7
Mono no Aware wa Sai no Koro	7
Gunjou no Sora wo Koete	8
Ore-tachi ni Tsubasa wa Nai AfterStory	8
Ore-tachi ni Tsubasa wa Nai ~Prelude~	8
Paradise Lost	8
Itsuka, Todoku, Ano Sora ni.	8
Maggot Baits	8
Shimaisou	8
Rui wa Tomo wo Yobu	8
Soushuu Senshinkan Gakuen: Hachimyoujin	8
Hanachirasu	8
Zanmataisei Demonbane	8
Daimeikyuu & Daimeiwaku -Great Edges in the Abyss-	8
Kikokugai - The Cyber Slayer	8
Silverio Vendetta	8
Dies irae	9
Soukou Akki Muramasa	9
Ore-tachi ni Tsubasa wa Nai - Under the Innocent Sky.	9
Astelight Shuushuubako	10
Bengarachou Hakubutsushi	10
Vermilion -Bind of Blood-	10
Kajiri Kamui Kagura	10
Albatross Koukairoku	10
Kagerou Touryuuki	10
Hanachirutani Sanjinkou	10
